friendly_name,cdc_name,iso3,note
afghanistan,Afghanistan,AFG,geojson
albania,Albania,ALB,geojson
algeria,Algeria,DZA,geojson
american-samoa,American Samoa  (U.S.),ASM,override
andorra,Andorra,AND,override
angola,Angola,AGO,geojson
anguilla,Anguilla (U.K.),AIA,override
antarctica,Antarctica,ATA,geojson
antigua-and-barbuda,Antigua and Barbuda,ATG,override
argentina,Argentina,ARG,geojson
armenia,Armenia,ARM,geojson
aruba,Aruba (Netherlands),ABW,override
australia,Australia,AUS,geojson
austria,Austria,AUT,geojson
azerbaijan,Azerbaijan,AZE,geojson
azores,Azores (Portugal),PRT,override
bahrain,Bahrain,BHR,override
bangladesh,Bangladesh,BGD,geojson
barbados,Barbados,BRB,override
belarus,Belarus,BLR,geojson
belgium,Belgium,BEL,geojson
belize,Belize,BLZ,geojson
benin,Benin,BEN,geojson
bermuda,Bermuda (U.K.),BMU,override
bhutan,Bhutan,BTN,geojson
bolivia,Bolivia,BOL,geojson
bonaire,Bonaire (Netherlands),BES,override
bosnia-and-herzegovina,Bosnia and Herzegovina,BIH,geojson
botswana,Botswana,BWA,geojson
brazil,Brazil,BRA,geojson
british-indian-ocean-territory,British Indian Ocean Territory; includes Diego Garcia (U.K.),IOT,override
british-virgin-islands,"Virgin Islands, British",VGB,override
brunei,Brunei,BRN,geojson
bulgaria,Bulgaria,BGR,geojson
burkina-faso,Burkina Faso,BFA,geojson
burma,Burma (Myanmar),MMR,override
burundi,Burundi,BDI,geojson
cambodia,Cambodia,KHM,geojson
cameroon,Cameroon,CMR,geojson
canada,Canada,CAN,geojson
canary-islands,Canary Islands ( Spain ),ESP,override
cape-verde,Cape Verde,CPV,override
cayman-islands,Cayman Islands (U.K.),CYM,override
central-african-republic,Central African Republic,CAF,geojson
chad,Chad,TCD,geojson
chile,Chile,CHL,geojson
china,China,CHN,geojson
christmas-island,Christmas Island (Australia),CXR,override
cocos-islands,Cocos (Keeling) Islands (Australia),CCK,override
colombia,Colombia,COL,geojson
comoros,Comoros,COM,override
congo,"Congo, Republic of the (Congo-Brazzaville)",COG,geojson
cook-islands,Cook Islands (New Zealand),COK,override
costa-rica,Costa Rica,CRI,geojson
croatia,Croatia,HRV,geojson
cuba,Cuba,CUB,geojson
curacao,Curaçao (Netherlands),CUW,override
cyprus,Cyprus,CYP,geojson
czechia,Czechia (Czech Republic),CZE,geojson
